x,y,timelabel
0.29466072948318983,-0.47940279019429405,1977-01-01
0.36003641133169151,-0.30080131883942485,1978-01-01
-0.42535418944075043,-0.075521759488804102,1979-01-01
-0.077328797113131398,-0.43698859043470506,1980-01-01
0.27410956038272116,0.30607707317166094,1981-01-01
-0.04770933954678374,0.40747198029181508,1982-01-01
0.33609404485036487,-0.11085091191262551,1983-01-01
0.33020442460759392,0.2118600726109077,1984-01-01
-0.40327118086921554,0.029941256486956828,1985-01-01
-0.20462501652721757,0.41648577417946347,1986-01-01
0.20571670384448174,-0.08791969367675731,1987-01-01
-0.13373037853979816,-0.24906666320316972,1988-01-01
-0.32240582407191981,-0.13255000000030362,1989-01-01
0.069611097649374926,-0.10096960214727853,1990-01-01
0.092716457517460008,0.37428817052855495,1991-01-01
